"Skaters"
"Pos","Player","Team","Eligible","Status","Opponent","GP","G","A","Pt","+/-","PIM","SOG","PPP","SHP","Hit","Blk"
"D","Thomas Harley","DAL","D","Min","","","","","","","","","","","",""
"D","Christian Kyrou","DAL","D","Min","","","","","","","","","","","",""
"D","Jackson LaCombe","ANA","D","Min","COL Mon 10:00PM","","","","","","","","","","",""
"D","Max Lajoie","CAR","D","Min","","","","","","","","","","","",""
"D","Gannon Laroque","SJS","D","Min","","","","","","","","","","","",""
"D","Mats Lindgren","BU"F","D","Min","MTL Mon 7:00PM","","","","","","","","","","",""
"D","Jack Peart","MIN","D","Min","SEA Mon 8:00PM","","","","","","","","","","",""
"D","Miguel Tourigny","MTL","D","Min","@BUF Mon 7:00PM","","","","","","","","","","",""
"D","Ben Zloty","(N/A)","D","Min","","","","","","","","","","","",""
"F","Chase Bradley","DET","F","-","","","","","","","","","","","",""
"F","Rourke Chartier","OTT","F","-","FLA Mon 7:00PM","","","","","","","","","","",""
"F","Justin Danforth","CBJ","F","-","","","","","","","","","","","",""
"F","Alexandre Doucet","DET","F","-","","","","","","","","","","","",""
"F","Jayce Hawryluk","NJ"D","F","-","@NYI Mon 7:30PM","","","","","","","","","","",""
"F","Sam Hentges","MIN","F","-","SEA Mon 8:00PM","","","","","","","","","","",""
"F","Vinnie Hinostroza","BU"F","F","-","MTL Mon 7:00PM","","","","","","","","","","",""
"F","Quinn Hutson","(N/A)","F","-","","","","","","","","","","","",""
"F","Scott Laughton","PHI","F","-","","","","","","","","","","","",""
"F","Blake McLaughlin","ANA","F","-","COL Mon 10:00PM","","","","","","","","","","",""
"F","Cameron O'Neill","OTT","F","-","FLA Mon 7:00PM","","","","","","","","","","",""
"F","Mitchell Russell","SJS","F","-","","","","","","","","","","","",""
"F","Brett Seney","CHI","F","-","","","","","","","","","","","",""
"F","Nico Sturm","SJS","F","-","","","","","","","","","","","",""
"F","Joel Teasdale","MTL","F","-","@BUF Mon 7:00PM","","","","","","","","","","",""
"F","Jonathan Toews","CHI","F","-","","","","","","","","","","","",""
"F","Dominic Toninato","WP"G","F","-","","","","","","","","","","","",""
"F","Luke Tuch","MTL","F","-","@BUF Mon 7:00PM","","","","","","","","","","",""
"F","Dominic Turgeon","MIN","F","-","SEA Mon 8:00PM","","","","","","","","","","",""
"F","Tyler Weiss","COL","F","-","@ANA Mon 10:00PM","","","","","","","","","","",""
"D","Calvin de Haan","CAR","D","-","","","","","","","","","","","",""
"D","Alexander Edler","LAK","D","-","","","","","","","","","","","",""
"D","Dyllan Gill","TBL","D","-","","","","","","","","","","","",""
"D","Noel Hoefenmayer","TOR","D","-","","","","","","","","","","","",""
"D","Lukas Klok","ARI","D","-","EDM Mon 10:00PM","","","","","","","","","","",""
"D","Lawrence Pilut","BU"F","D","-","MTL Mon 7:00PM","","","","","","","","","","",""
"D","Nathan Staios","FLA","D","-","@OTT Mon 7:00PM","","","","","","","","","","",""
"Totals","","","","","","138","30","51","81","-10","36","249","18","0","114","111"

"Goalies","","","","","","","","","","","","","","","","
"Pos","Player","Team","Eligible","Status","Opponent","W-G","GP","GAA","SV","SV%","SHO","PIM","G","A","Pt","PPP"
"G","Jacob Markstrom","CGY","G","Act","","1","3","4.78","69",".841","0","0","0","0","0","0"
"G","Jake Oettinger","DAL","G","Res","","3","5","3.37","147",".896","0","0","0","0","0","0"
"G","Dominic Basse","CHI","G","Min","","0","","","","","","","","","",""
"G","Brett Brochu","(N/A)","G","Min","","0","","","","","","","","","",""
"G","Brandon Bussi","BOS","G","Min","","0","","","","","","","","","",""
"G","Thomas Milic","(N/A)","G","Min","","0","","","","","","","","","",""
"G","Blake Pietila","(N/A)","G","Min","","0","","","","","","","","","",""
"G","Remi Poirier","DAL","G","Min","","0","","","","","","","","","",""
"G","Kevin Reidler","OTT","G","Min","FLA Mon 7:00PM","0","","","","","","","","","",""
"G","Oskari Salminen","WPG","G","Min","","0","","","","","","","","","",""
"G","Anson Thornton","ARI","G","Min","EDM Mon 10:00PM","0","","","","","","","","","",""
"G","Gage Alexander","ANA","G","-","COL Mon 10:00PM","0","","","","","","","","","",""
"G","Ryan Fanti","EDM","G","-","@ARI Mon 10:00PM","0","","","","","","","","","",""
"G","Chris Gibson","SEA","G","-","@MIN Mon 8:00PM","0","","","","","","","","","",""
"G","Simon Latkoczy","(N/A)","G","-","","0","","","","","","","","","",""
"G","Hunter Shepard","WSH","G","-","","0","","","","","","","","","",""
"G","Jaxson Stauber","CHI","G","-","","0","","","","","","","","","",""
"G","Anthony Stolarz","ANA","G","-","COL Mon 10:00PM","0","","","","","","","","","",""
"G","Dylan Wells","CHI","G","-","","0","","","","","","","","","",""
"Totals","","","","","","4","8","3.86","216",".878","0","0","0","0","0","0"
